cust_code,cust_name,cust_address
AA,กระทิงแดง,
AB,บริษัท กรีนสปอต จำกัด,
AC,โตโยไซกัน (TST),
AD,บจก. สยามไฟเบอร์ซีเมนต์กรุ๊ป (โรงงานหนองแค),
AE,บริษัท สยามอุตสาหกรรมวัสดุทนไฟ จำกัด,
AF,บริษัท ทิปโก้ เอฟแอนด์ บี จำกัด,
AG,บริษัท ไทยน้ำทิพย์ คอร์ปอเรชั่น จำกัด (มหาชน),
AH,บริษัท หาดทิพย์ จำกัด (มหาชน),
AI,สหกรณ์ โคนมหนองโพราชบุรี จำกัด(ในพระบรมราชูปถัมภ์),
AJ,บริษัท ฟรีสแลนด์คัมพิน่า (ประเทศไทย) จำกัด (มหาชน),
AK,บริษัท ยูนิ-เพรสซิเดนท์ (ประเทศไทย) จำกัด,
AL,บริษัท แอดวานซ์ โนเลดจ์ เซอร์วิสเซส จำกัด,
AM,บริษัท เจ.เอส. อุตสาหกรรมพลาสติก จำกัด,
